1024,947
0,926,325
1,916,358
2,935,352
3,954,363
4,929,384
5,963,393
6,968,438
7,945,472
8,963,497
9,995,490
10,995,506
11,975,666
12,989,680
13,970,731
14,954,725
15,911,718
16,909,741
17,871,743
18,872,768
19,867,799
20,844,772
21,818,507
22,797,521
23,758,521
24,707,529
25,670,586
26,622,691
27,629,749
28,621,764
29,657,758
30,602,673
31,599,661
32,574,562
33,743,397
34,725,394
35,704,362
36,725,335
37,739,322
38,763,322
39,781,338
40,788,361
41,783,443
42,798,450
43,765,444
44,757,449
45,744,444
46,721,441
47,695,441
48,663,445
49,634,448
50,622,444
51,592,457
52,588,485
53,571,475
54,540,458
55,516,418
56,482,468
57,505,499
58,503,517
59,478,518
60,514,540
61,537,558
62,511,653
63,485,644
64,451,618
65,466,659
66,473,687
67,453,691
68,444,673
69,483,604
70,499,616
71,517,595
72,530,622
73,419,682
74,393,689
75,380,671
76,359,657
77,359,634
78,355,613
79,341,598
80,339,582
81,327,584
82,312,573
83,291,561
84,292,540
85,297,517
86,311,504
87,320,489
88,332,481
89,347,465
90,357,449
91,378,440
92,392,439
93,401,434
94,401,468
95,430,474
96,460,495
97,451,458
98,424,426
99,428,439
100,432,358
101,414,343
102,402,331
103,393,313
104,414,298
105,433,301
106,464,317
107,485,321
108,497,331
109,484,356
110,291,298
111,296,283
112,262,295
113,236,302
114,242,312
115,216,331
116,186,329
117,177,316
118,155,339
119,125,311
120,131,333
121,104,298
122,318,263
123,305,193
124,348,239
125,315,237
126,278,208
127,205,155
128,173,165
129,136,165
130,92,193
131,77,230
132,91,269
133,242,165
134,273,169
135,292,174
136,539,226
137,543,238
138,543,254
139,561,231
140,619,206
141,615,181
142,599,165
143,594,147
144,590,111
145,564,87
146,538,73
147,510,67
148,484,67
149,471,85
150,457,78
151,435,115
152,398,112
153,414,147
154,405,131
155,458,192
156,467,202
157,487,208
158,505,211
159,523,219
160,516,233
161,684,143
162,710,158
163,736,147
164,765,108
165,752,103
166,738,78
167,701,60
168,657,61
169,648,89
170,626,99
171,635,112
172,804,134
173,803,190
174,830,170
175,874,160
176,886,137
177,888,117
178,911,114
179,939,144
180,934,162
181,941,202
182,920,210
183,949,245
184,932,262
185,984,233
186,1018,234
187,991,89
188,965,74
189,931,57
190,917,39
191,915,19
192,898,14
193,861,43
194,843,61
195,703,24
196,661,10
197,551,34
198,593,65
199,621,37
200,448,46
201,420,28
202,394,30
203,393,42
204,266,101
205,332,106
206,307,131
207,355,153
208,373,192
209,397,203
210,403,230
211,406,253
212,414,266
213,857,625
214,877,636
215,906,632
216,927,650
217,889,653
218,806,645
219,815,664
220,811,695
221,784,673
222,839,630
223,772,719
224,794,759
225,774,800
226,806,826
227,794,846
228,802,872
229,821,889
230,788,899
231,780,904
232,738,886
233,738,898
234,669,872
235,661,900
236,605,814
237,601,822
238,566,801
239,534,775
240,542,741
241,526,849
242,528,873
243,544,886
244,529,896
245,502,905
246,465,866
247,470,819
248,464,803
249,484,796
250,506,834
251,455,918
252,428,912
253,410,881
254,379,868
255,402,860
256,421,857
257,396,804
258,379,790
259,328,752
260,311,746
261,294,727
262,237,711
263,202,725
264,177,663
265,186,620
266,220,598
267,234,621
268,227,657
269,197,687
270,183,689
271,163,680
272,175,708
273,172,739
274,160,750
275,164,827
276,227,837
277,245,848
278,273,832
279,201,855
280,204,872
281,172,864
282,142,864
283,133,851
284,92,848
285,52,864
286,9,830
287,8,871
288,104,643
289,128,676
290,113,705
291,61,718
292,45,735
293,13,737
294,6,719
295,11,617
296,23,570
297,49,623
298,83,563
299,97,582
300,105,598
301,124,586
302,90,602
303,610,321
304,610,339
305,597,357
306,585,349
307,570,325
308,588,302
309,588,302
310,628,266
311,657,265
312,660,289
313,680,280
314,680,301
315,678,322
316,678,338
317,658,333
318,654,353
319,657,368
320,826,269
321,844,279
322,857,279
323,863,265
324,899,321
325,870,315
326,865,335
327,867,357
328,836,360
329,824,344
330,784,275
331,774,257
332,772,297
333,177,21
334,105,10
335,111,35
336,118,51
337,111,75
338,102,112
339,100,97
340,15,15
341,65,57
342,189,90
343,34,212
344,29,243
345,57,340
346,93,392
347,64,398
348,57,416
349,932,529
350,938,585
351,912,582
352,988,590
353,1003,600
354,986,607
355,1013,631
356,904,796
357,900,823
358,884,854
359,872,867
360,844,880
361,920,898
362,943,912
363,973,926
364,988,913
365,998,793
366,963,794
367,836,719
368,829,740
369,657,691
370,640,668
371,613,723
372,662,717
373,824,474
374,658,527
375,620,512
376,824,240
377,795,231
378,726,225
379,238,486
380,252,511
381,197,517
382,192,485
383,184,418
384,229,420
385,220,393
386,228,374
387,301,424
388,320,418
389,301,447
390,19,135
391,50,135
392,37,94
393,13,51
394,105,540
395,18,513
396,138,903
397,200,923
